Rank general;Puntaje general;Corte P70 general;Sel. general;Acumulado US$ MM;Dentro del presupuesto;Sector;Rank sector;Puntaje sector;Corte P70 sector;Sel. sector;Proyecto;Fase;Modalidad;Ambito;Monto US$ MM;Ind 1 (pt);Ind 2 (pt);Ind 3 (pt);Ind 4 (pt);Ind 5 (pt);Ind 6 (pt);Ind 7 (pt);Ind 8 (pt);Ind 9 (pt);Ind 10 (pt);Ind 1 (norm);Ind 2 (norm);Ind 3 (norm);Ind 4 (norm);Ind 5 (norm);Ind 6 (norm);Ind 7 (norm);Ind 8 (norm);Ind 9 (norm);Ind 10 (norm)
1;0.8534;0.5451;Si;462.89;Si;Transporte;1;0.8534;0.5793;Si;Terminal Internacional de Chimbote;Estructuración;Autofinanciada;ANCASH, LA LIBERTAD;462.89;1;3;6;10;6;0.21;3;3;1;1;1.0;1.0;1.0;1.0;0.8333;0.2083;1.0;0.6667;0.0;0.0
2;0.8227;0.5451;Si;1081.6;Si;Transporte;2;0.8227;0.5793;Si;Tercer Grupo de Aeropuertos;Formulación;Autofinanciada;ANCASH, CAJAMARCA, CUSCO, HUANUCO, JUNIN, LORETO, MOQUEGUA, SAN MARTIN;618.71;1;3;6;10;7;0.07;3;2;1;1;1.0;1.0;1.0;1.0;1.0;0.0667;1.0;0.3333;0.0;0.0
3;0.7998;0.5451;Si;1417.68;Si;Transporte;3;0.7998;0.5793;Si;Nuevo Terminal Portuario Pucallpa;Formulación;Autofinanciada;LIMA, LORETO, UCAYALI;336.08;1;3;5;10;6;0.27;3;2;1;1;1.0;1.0;0.8;1.0;0.8333;0.2722;1.0;0.3333;0.0;0.0
4;0.7278;0.5451;Si;1766.82;Si;Hidrocarburos;1;0.8398;0.634;Si;Masificación del Gas Natural en Arequipa, Moquegua y Tacna;Estructuración;Autofinanciada;AREQUIPA, MOQUEGUA, TACNA;349.14;0;3;4;10;6;0.2;3;3;1;1;0.0;1.0;0.6;1.0;0.8333;0.2;1.0;0.6667;0.0;0.0
5;0.6886;0.5451;Si;1971.59;Si;Agua y saneamiento;1;0.6886;0.4701;Si;Desaladora Lima Norte;Formulación;Autofinanciada;LIMA;204.77;0;3;3;10;6;0.4;3;2;1;1;0.0;1.0;0.4;1.0;0.8333;0.4;1.0;0.3333;0.0;0.0
6;0.6413;0.5451;Si;2371.59;Si;Transporte;4;0.6413;0.5793;Si;Terminal Portuario Almirante Miguel Grau de Tacna;Formulación;Autofinanciada;TACNA;400;0;3;3;8;6;0.2;3;2;1;1;0.0;1.0;0.4;0.7778;0.8333;0.2;1.0;0.3333;0.0;0.0
7;0.6204;0.5451;Si;3289.55;Si;Transporte;5;0.6204;0.5793;Si;Vía de Evitamiento de Cusco;Formulación;Cofinanciada;CUSCO;917.96;1;1;5;10;7;0.8;2;2;1;1;1.0;0.0;0.8;1.0;1.0;0.8;0.5;0.3333;0.0;0.0
8;0.6138;0.5451;Si;3289.55;Si;Tecnología;1;1.0;0.7715;Si;Centro de Gestión y Monitoreo Tecnológico;Formulación;Autofinanciada;ÁMBITO NACIONAL;;0;3;6;10;1;0.2;3;2;1;1;0.0;1.0;1.0;1.0;0.0;0.2042;1.0;0.3333;0.0;0.0
9;0.6137;0.5451;Si;4098.22;Si;Agua y saneamiento;2;0.6137;0.4701;Si;PTAR Trujillo;Estructuración;Cofinanciada;LA LIBERTAD;808.67;1;1;6;10;7;0.17;2;3;1;1;1.0;0.0;1.0;1.0;1.0;0.1667;0.5;0.6667;0.0;0.0
10;0.5873;0.5451;Si;4260.76;Si;Transporte;6;0.5873;0.5793;Si;Corredor Vial 4;Estructuración;Cofinanciada;HUANUCO, SAN MARTIN;162.54;0;1;6;10;6;0.92;2;3;1;1;0.0;0.0;1.0;1.0;0.8333;0.9167;0.5;0.6667;0.0;0.0
11;0.5873;0.5451;Si;4412.05;Si;Transporte;7;0.5873;0.5793;Si;Corredor Vial 5;Estructuración;Cofinanciada;ANCASH, HUANUCO, SAN MARTIN;151.29;0;1;6;10;6;0.92;2;3;1;1;0.0;0.0;1.0;1.0;0.8333;0.9167;0.5;0.6667;0.0;0.0
12;0.583;0.5451;Si;4604.51;Si;Transporte;8;0.583;0.5793;Si;Corredor Vial 6;Estructuración;Cofinanciada;HUANUCO, PASCO;192.46;0;1;6;9;6;1.0;2;3;1;1;0.0;0.0;1.0;0.8889;0.8333;1.0;0.5;0.6667;0.0;0.0
13;0.5784;0.5451;Si;4901.6;Si;Transporte;9;0.5784;0.5793;No;Carretera Empalme 1B – Buenos Aires – Canchaque;Estructuración;Cofinanciada;PIURA;297.09;0;1;6;10;6;0.83;2;3;1;1;0.0;0.0;1.0;1.0;0.8333;0.8333;0.5;0.6667;0.0;0.0
14;0.5595;0.5451;Si;5007.44;No;Transporte;10;0.5595;0.5793;No;Pte. Carrizales (Casma) – Pariacoto;Estructuración;Cofinanciada;ANCASH;105.84;0;1;6;9;5;1.0;2;3;1;1;0.0;0.0;1.0;0.8889;0.6667;1.0;0.5;0.6667;0.0;0.0
